average_yield_kg_per_hectare,total_production_tonnes,seeded_area_acres,seeded_area_hectares,total_farm_value_dollars,soil_type,irrigation_used,avg_rainfall_mm,avg_temperature_c,pesticide_use_level,organic_farming,farm_size_category
4612,3408.41,1826.18,739.03,886186.6,Loamy,Yes,514.26,13.3,Low,Yes,Medium
2462,1697.52,1703.76,689.49,441355.2,Loamy,No,61.94,9.05,Medium,Yes,Large
3421,2578.61,1862.58,753.76,670438.6,Peaty,Yes,367.86,10.56,Medium,Yes,Small
4503,784.96,430.75,174.32,204089.6,Clay,Yes,394.47,16.33,High,Yes,Medium
4716,3701.68,1939.58,784.92,962436.8,Sandy,Yes,559.61,13.44,Low,Yes,Small
3241,1258.58,959.58,388.33,327230.8,Peaty,No,443.21,14.7,Medium,Yes,Medium
3588,3395.32,2338.35,946.3,882783.2,Silty,No,481.64,9.88,High,No,Small
3801,2471.11,1606.48,650.12,642488.6,Silty,Yes,415.11,13.19,Medium,Yes,Large
4678,2480.37,1310.2,530.22,644896.2,Clay,No,547.84,14.07,Medium,No,Medium
3886,1430.55,909.67,368.13,371943,Sandy,Yes,568.84,13.12,High,Yes,Small
4241,2619.5,1526.27,617.66,681070,Silty,Yes,361.1,10.63,Low,No,Small
4581,1628.5,878.43,355.49,423410,Loamy,No,496.56,10.1,Low,Yes,Medium
3004,338.97,278.83,112.84,88132.2,Clay,No,374.37,5.87,Medium,Yes,Small
2490,1120.9,1112.37,450.16,291434,Loamy,Yes,255.28,11.08,Medium,Yes,Small
3635,2298.63,1562.59,632.36,597643.8,Loamy,No,444.02,9.73,High,Yes,Large
4202,906.96,533.35,215.84,235809.6,Peaty,No,463.07,14.81,High,Yes,Small
4638,3333.15,1775.84,718.66,866619,Loamy,No,402.39,11.45,Medium,No,Small
4745,1482.53,772.05,312.44,385457.8,Silty,Yes,315.15,14.66,Low,Yes,Small
4620,4202.68,2247.84,909.67,1092696.8,Sandy,Yes,392.54,16.24,High,Yes,Small
4115,2189.67,1314.9,532.12,569314.2,Sandy,Yes,346.81,14.26,Medium,No,Medium
2739,2383.12,2149.99,870.07,619611.2,Sandy,Yes,164.6,12.83,Medium,Yes,Large
2615,771.4,728.94,294.99,200564,Sandy,No,218.07,11.61,High,Yes,Medium
3722,554.32,368.01,148.93,144123.2,Peaty,Yes,458.83,12.27,High,Yes,Small
4490,4239.68,2333.29,944.25,1102316.8,Sandy,No,391.08,14.76,Low,No,Medium
3532,189.7,132.72,53.71,49322,Loamy,No,510.01,13.75,Medium,Yes,Medium
4113,2545.21,1529.14,618.82,661754.6,Sandy,Yes,521.93,12.25,Low,Yes,Medium
3295,1452.24,1089.09,440.74,377582.4,Peaty,No,455.51,8.38,Low,Yes,Large
3240,1691.51,1290.06,522.07,439792.6,Silty,Yes,430.8,13.43,Medium,No,Large
3708,2445.35,1629.61,659.48,635791,Loamy,Yes,520.17,17.35,Low,No,Large
3555,1704.41,1184.72,479.44,443146.6,Silty,No,464.53,5.59,High,Yes,Medium
3745,479.96,316.69,128.16,124789.6,Loamy,Yes,475.41,17.25,Medium,Yes,Large
3586,1975.6,1361.35,550.92,513656,Sandy,Yes,432.53,13.57,Medium,No,Medium
3270,1794.15,1355.79,548.67,466479,Clay,Yes,461.49,6.21,Low,Yes,Large
2578,1266.44,1213.9,491.25,329274.4,Clay,Yes,264.82,12.78,Low,No,Large
3736,1192.72,788.88,319.25,310107.2,Silty,No,458.67,10.86,Medium,Yes,Small
4649,1539.52,818.29,331.15,400275.2,Silty,Yes,352.84,14.7,Medium,Yes,Medium
3796,2814.85,1832.36,741.53,731861,Silty,No,523.3,16.64,Medium,Yes,Small
4500,2371.68,1302.34,527.04,616636.8,Clay,No,436.54,8.43,Low,Yes,Medium
4489,3310.91,1822.55,737.56,860836.6,Loamy,No,470.56,15.82,Medium,No,Small
2401,1140.23,1173.5,474.9,296459.8,Clay,No,200.34,10.46,Low,No,Medium
4192,2892.69,1705.15,690.05,752099.4,Clay,Yes,421.58,9.71,Low,Yes,Medium
3266,380.13,287.61,116.39,98833.8,Clay,Yes,349.47,17.28,Medium,No,Large
3511,3132.06,2204.35,892.07,814335.6,Loamy,No,424.55,11.63,Medium,No,Small
3729,2293.45,1519.77,615.03,596297,Sandy,No,404.03,14.73,Medium,Yes,Large
3344,2399.29,1772.95,717.49,623815.4,Silty,No,379.44,15.31,Medium,Yes,Large
4559,1977.01,1071.57,433.65,514022.6,Sandy,Yes,569.47,11.34,High,No,Medium
3939,3525.92,2211.91,895.13,916739.2,Loamy,Yes,558.99,12.84,Medium,Yes,Large
2355,247.72,259.93,105.19,64407.2,Sandy,No,234.31,10.06,Medium,Yes,Medium
4424,3505.09,1957.79,792.29,911323.4,Loamy,No,432.23,12.64,Low,Yes,Large
3506,2310.45,1628.42,659,600717,Peaty,Yes,343.16,7.42,Medium,Yes,Large
4216,262.83,154.05,62.34,68335.8,Sandy,Yes,443.34,11.07,Low,No,Small
3144,1372.89,1079.03,436.67,356951.4,Clay,Yes,452.59,7.05,Low,Yes,Medium
3655,818.28,553.22,223.88,212752.8,Silty,Yes,520.68,7.58,Medium,Yes,Small
2464,938.96,941.64,381.07,244129.6,Clay,Yes,279.38,6.83,Medium,Yes,Large
3139,190.54,149.99,60.7,49540.4,Peaty,No,241.21,9.02,Medium,Yes,Small
2805,2312.08,2036.81,824.27,601140.8,Sandy,No,388.73,7.03,High,Yes,Large
3551,1634.13,1137.15,460.19,424873.8,Sandy,No,351.05,10.92,High,Yes,Large
4351,2380.04,1351.69,547.01,618810.4,Sandy,No,406.38,9.77,Medium,Yes,Medium
3601,1448.18,993.76,402.16,376526.8,Loamy,No,394.4,15.59,Medium,Yes,Small
3241,747.34,569.8,230.59,194308.4,Loamy,Yes,451.19,10.86,Low,No,Small
4701,4378.14,2301.34,931.32,1138316.4,Peaty,Yes,351.35,18.52,Medium,No,Medium
4745,2977.16,1550.41,627.43,774061.6,Silty,No,442.66,12.32,High,Yes,Medium
2947,213.3,178.85,72.38,55458,Loamy,No,465.2,6.35,Low,No,Large
2772,987.94,880.68,356.4,256864.4,Sandy,No,291.73,11.66,Low,Yes,Medium
3577,1236.14,853.95,345.58,321396.4,Loamy,No,374.92,16.07,High,Yes,Small
3104,2733.79,2176.33,880.73,710785.4,Peaty,No,347.93,6.9,High,Yes,Large
3212,744.8,572.99,231.88,193648,Sandy,Yes,290.01,11.43,Medium,No,Small
4463,1948.95,1079.08,436.69,506727,Sandy,Yes,413.06,11.9,High,No,Small
3455,2985.47,2135.23,864.1,776222.2,Sandy,No,418.01,9.97,Low,Yes,Small
4158,2058.67,1223.44,495.11,535254.2,Loamy,Yes,437.25,9.07,Low,No,Large
4545,4185.76,2275.74,920.96,1088297.6,Loamy,No,319.8,13.87,Medium,No,Medium
2492,736.21,730.02,295.43,191414.6,Clay,Yes,172.73,11.02,High,No,Large
4335,2355.9,1342.92,543.46,612534,Clay,No,564.94,8.38,High,Yes,Medium
3204,2824.13,2178.08,881.44,734273.8,Peaty,Yes,477.96,21.84,Medium,No,Small
3256,880,667.85,270.27,228800,Clay,Yes,528.4,7.02,High,No,Medium
3429,642.15,462.75,187.27,166959,Clay,Yes,439.66,10.91,Low,Yes,Large
2731,2672.67,2418.27,978.64,694894.2,Peaty,No,359.91,6.72,Low,Yes,Small
4461,3107.76,1721.46,696.65,808017.6,Peaty,Yes,427.92,18.17,Medium,No,Medium
