average_yield_kg_per_hectare,total_production_tonnes,seeded_area_acres,seeded_area_hectares,total_farm_value_dollars,soil_type,irrigation_used,avg_rainfall_mm,avg_temperature_c,pesticide_use_level,organic_farming
4076,1023.73,620.63,251.16,522102.3,Clay,Yes,417.52,10.69,Medium,Yes
4601,2971.19,1595.73,645.77,1515306.9,Clay,No,523.5,13.54,Medium,Yes
3805,971.23,630.74,255.25,495327.3,Peaty,No,454.28,7.61,Medium,No
3465,3426.4,2443.52,988.86,1747464,Peaty,No,375.93,11.3,Medium,No
4359,1105.88,626.91,253.7,563998.8,Loamy,No,374.22,11.32,Medium,Yes
3692,1472.63,985.63,398.87,751041.3,Loamy,Yes,371.27,17.44,High,Yes
3868,1807.05,1154.43,467.18,921595.5,Loamy,No,432.48,9.52,Medium,No
3470,763.09,543.41,219.91,389175.9,Silty,Yes,373.19,11.88,Medium,No
4326,1242.12,709.51,287.13,633481.2,Silty,Yes,450.28,10.95,High,Yes
3991,3268.75,2023.86,819.03,1667062.5,Sandy,Yes,419.76,15.07,Low,Yes
3763,3583.32,2353.06,952.25,1827493.2,Silty,No,356.03,8.01,Medium,No
3319,3163.8,2355.5,953.24,1613538,Sandy,No,309.7,10.94,Medium,Yes
4551,1417.5,769.66,311.47,722925,Peaty,No,480.07,10.58,Medium,No
4450,2038.1,1131.74,458,1039431,Loamy,No,378.64,8.96,Medium,Yes
3412,687.65,498.02,201.54,350701.5,Silty,Yes,396.16,7.42,High,No
4142,433.17,258.42,104.58,220916.7,Sandy,Yes,446.38,14.64,High,No
4684,4097.38,2161.58,874.76,2089663.8,Silty,No,335.15,15.05,Low,No
2273,1065.51,1158.35,468.77,543410.1,Silty,Yes,277.41,7.99,Low,No
3504,366.2,258.25,104.51,186762,Sandy,Yes,450.36,10.12,Medium,No
4520,2089.87,1142.51,462.36,1065833.7,Loamy,Yes,514.34,9.23,Medium,Yes
4733,3774.57,1970.66,797.5,1925030.7,Clay,Yes,499.52,9.73,Medium,No
3356,2441.89,1797.99,727.62,1245363.9,Sandy,Yes,254.89,8.05,Low,Yes
2309,951.03,1017.78,411.88,485025.3,Clay,Yes,274.41,10.34,Medium,No
2414,590.61,604.57,244.66,301211.1,Silty,No,226.9,8.26,Medium,No
4500,1614.29,886.44,358.73,823287.9,Loamy,No,306.99,11.55,High,No
3874,2966.86,1892.43,765.84,1513098.6,Peaty,No,396.58,12.58,Low,Yes
4261,2289.09,1327.5,537.22,1167435.9,Peaty,Yes,394.56,16.9,High,Yes
4387,2711.6,1527.36,618.1,1382916,Sandy,Yes,545.61,15.62,High,No
4210,2230.79,1309.36,529.88,1137702.9,Clay,No,484.69,17.41,Medium,Yes
3409,1110.75,805.14,325.83,566482.5,Sandy,Yes,452.42,13.73,Low,No
4663,425.55,225.51,91.26,217030.5,Silty,Yes,479.33,12.81,High,Yes
2539,1691.66,1646.39,666.27,862746.6,Peaty,No,255.71,12.52,Medium,Yes
2932,599.33,505.11,204.41,305658.3,Loamy,No,394.46,5.43,Low,No
4185,3205.67,1892.8,765.99,1634891.7,Peaty,No,468.57,16.55,High,No
2009,353.18,434.41,175.8,180121.8,Peaty,Yes,270.54,6.32,Medium,Yes
4146,542.59,323.39,130.87,276720.9,Peaty,Yes,407.23,14.07,Low,Yes
3732,956.55,633.35,256.31,487840.5,Silty,Yes,383.02,14.24,High,Yes
4648,768.08,408.34,165.25,391720.8,Peaty,No,574.67,8.29,Low,Yes
