average_yield_kg_per_hectare,total_production_tonnes,seeded_area_acres,seeded_area_hectares,total_farm_value_dollars,soil_type,irrigation_used,avg_rainfall_mm,avg_temperature_c,pesticide_use_level,organic_farming,technology_adoption_year,policy_change_impact,climate_zone,farm_size_category
3745,1663.57,1097.67,444.21,848420.7,Silty,No,460.37,10.43,High,No,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Small
3607,674.04,461.77,186.87,343760.4,Sandy,Yes,371.74,13.48,Medium,No,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Medium
4401,3701.73,2078.42,841.11,1887882.3,Silty,Yes,461.38,12.42,Low,Yes,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Small
4698,1734.74,912.44,369.25,884717.4,Sandy,Yes,318.55,13.9,Low,No,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Medium
4076,1023.73,620.63,251.16,522102.3,Clay,Yes,417.52,10.69,Medium,Yes,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Large
4601,2971.19,1595.73,645.77,1515306.9,Clay,No,523.5,13.54,Medium,Yes,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Large
3805,971.23,630.74,255.25,495327.3,Peaty,No,454.28,7.61,Medium,No,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Large
3465,3426.4,2443.52,988.86,1747464,Peaty,No,375.93,11.3,Medium,No,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Large
3529,3333,2333.81,944.46,1699830,Loamy,No,384.62,13.75,Medium,Yes,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Small
4359,1105.88,626.91,253.7,563998.8,Loamy,No,374.22,11.32,Medium,Yes,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Large
3692,1472.63,985.63,398.87,751041.3,Loamy,Yes,371.27,17.44,High,Yes,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Large
3057,1341.78,1084.59,438.92,684307.8,Sandy,Yes,285.57,12.51,Medium,No,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Small
3868,1807.05,1154.43,467.18,921595.5,Loamy,No,432.48,9.52,Medium,No,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Large
4564,3720.48,2014.35,815.18,1897444.8,Clay,Yes,522.74,20.37,High,Yes,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Small
3382,3007.07,2197.11,889.14,1533605.7,Peaty,No,510.62,9.32,Medium,Yes,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Small
3276,2468.99,1862.33,753.66,1259184.9,Silty,No,399.45,15.21,Medium,No,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Medium
4305,1054.21,605.11,244.88,537647.1,Silty,Yes,509.65,12.04,Low,No,"Autonomous Machinery, IoT Sensors, Tractors, GPS Mapping, Precision Planting, Fertilizers, Drones, Irrigation, AI Monitoring",,Maritime,Small
