average_farm_price_per_tonne,average_yield_kg_per_hectare,total_production_tonnes,seeded_area_acres,seeded_area_hectares,total_farm_value_dollars,soil_type,irrigation_used,avg_rainfall_mm,avg_temperature_c,pesticide_use_level,organic_farming,farm_size_category
520,2814,1937.21,1701.12,688.42,1007349.2,Clay,Yes,254.47,10.76,Medium,Yes,Large
416,1419,540.85,941.84,381.15,224993.6,Silty,Yes,292.75,12.74,High,Yes,Small
156,1786,281.31,389.22,157.51,43884.36,Sandy,Yes,650.62,15.65,Medium,No,Medium
208,3467,2052.85,1463.13,592.11,426992.8,Peaty,Yes,439.25,11.88,Medium,No,Large
176.8,2245,2025.03,2228.94,902.02,358025.3,Sandy,Yes,376.01,12.77,High,No,Large
208,2660,2412.57,2241.19,906.98,501814.56,Sandy,No,443.8,12.34,Medium,Yes,Small
520,3684,3102.37,2080.92,842.12,1613232.4,Clay,No,468.14,11.51,Medium,No,Small
312,1871,1834.38,2422.69,980.43,572326.56,Peaty,Yes,293.1,8.66,Medium,No,Large
187.2,4154,3478.52,2069.23,837.39,651178.94,Peaty,Yes,384.9,12.78,High,No,Small
312,2397,719.22,741.44,300.05,224396.64,Peaty,Yes,250.48,10.47,High,No,Small
166.4,2092,890.98,1052.42,425.9,148259.07,Sandy,No,382.04,18.13,High,No,Medium
166.4,1808,835.04,1141.28,461.86,138950.66,Clay,Yes,611.42,12.98,Medium,Yes,Large
260,2462,1697.52,1703.76,689.49,441355.2,Loamy,No,61.94,9.05,Medium,Yes,Large
197.6,3640,647.59,439.62,177.91,127963.78,Sandy,No,335.18,15.74,High,Yes,Small
416,1683,1268.17,1861.99,753.52,527558.72,Sandy,Yes,380.64,7.95,Low,Yes,Medium
197.6,3522,3449.02,2419.85,979.28,681526.35,Clay,No,456.45,13.36,Medium,No,Large
208,3038,1460.76,1188.15,480.83,303838.08,Sandy,No,496.94,13,Medium,No,Medium
416,1420,299.18,520.63,210.69,124458.88,Clay,Yes,286.65,14.46,Low,Yes,Small
176.8,1678,1532.28,2256.46,913.16,270907.1,Silty,Yes,292.27,12.99,Medium,No,Small
166.4,1900,702.2,913.25,369.58,116846.08,Sandy,No,492.15,12.06,High,Yes,Small
208,2891,1357.15,1160.01,469.44,282287.2,Loamy,Yes,424.12,13.49,Low,No,Small
312,3179,1011.88,786.54,318.3,315706.56,Sandy,No,530.01,11.87,Medium,No,Large
176.8,2943,945.09,793.53,321.13,167091.91,Sandy,No,393.01,17.83,Medium,No,Large
176.8,2310,1405.57,1503.56,608.47,248504.78,Loamy,Yes,328.34,11.36,Medium,No,Small
156,1171,442.63,934.03,377.99,69050.28,Loamy,Yes,133.13,4.8,Low,No,Medium
187.2,5974,3043.39,1258.85,509.44,569722.61,Sandy,No,452.19,10.2,Medium,Yes,Small
156,1909,1896.44,2454.79,993.42,295844.64,Peaty,Yes,486.72,10.15,High,Yes,Small
520,3066,1057.89,852.61,345.04,550102.8,Loamy,Yes,390.03,11.71,Medium,Yes,Medium
197.6,4073,328.24,199.14,80.59,64860.22,Loamy,No,388.59,17.09,Medium,No,Medium
166.4,1854,1812.34,2415.53,977.53,301573.38,Loamy,Yes,559.71,11.77,High,No,Medium
156,1498,1084.37,1788.74,723.88,169161.72,Silty,No,604.37,3.59,Low,Yes,Small
312,2631,2464.85,2315,936.85,769033.2,Silty,Yes,496.37,14.69,Low,Yes,Medium
166.4,2100,1768.6,2081.09,842.19,294295.04,Peaty,No,485.69,14.69,Low,No,Large
260,3801,2471.11,1606.48,650.12,642488.6,Silty,Yes,415.11,13.19,Medium,Yes,Large
520,2875,1697.95,1459.38,590.59,882934,Sandy,Yes,346.73,13.37,Medium,No,Small
520,2336,2268.02,2399.14,970.9,1179370.4,Silty,No,234.6,8.88,Medium,Yes,Large
176.8,2745,2210.58,1989.96,805.31,390830.54,Silty,Yes,558.73,9.24,High,Yes,Small
416,856,118.87,343.15,138.87,49449.92,Loamy,Yes,296.66,6.48,Medium,No,Small
312,2783,1305.78,1159.42,469.2,407403.36,Loamy,Yes,312.86,11.13,High,Yes,Large
520,3365,255.98,187.97,76.07,133109.6,Peaty,Yes,390.86,14.15,Medium,Yes,Medium
416,1539,1241.79,1993.84,806.88,516584.64,Clay,No,384.36,7.99,High,Yes,Large
416,2040,942.64,1141.82,462.08,392138.24,Sandy,No,342.06,11.32,Low,No,Medium
